,Index,Envent#,date,theatre,old_text,text,locations,location_name,latitude,longitude,source
835,836,392,7/28/42,USSR,Soviet High Command admits Rostov's fall to the Germans.,: Soviet High Command admits Rostov's fall to the Germans.,"{'Rostov': {'Description': 'found regularly', 'latitude': 47.44032, 'longitude': 41.08083, 'geonameid': '501165'}}",Rostov,47.44032,41.08083,auto-GNS
1042,1043,490,8/26/42,USSR,Russians make 7 counterattacks NWof Stalingrad.,: Russians make 7 counterattacks NW of Stalingrad.,"{'Stalingrad': {'Description': 'found regularly', 'latitude': 48.71939, 'longitude': 44.50183, 'geonameid': '472757'}}",Stalingrad,48.71939,44.50183,auto-GNS
1182,1183,539,9/6/42,USSR,"Germans announce capture of Novorossisk, key Soviet port on Black Sea since fall of Sevastopol.",": Germans announce capture of Novorossisk, key Soviet port on Black Sea since fall of Sevastopol.","{'Novorossisk': {'Description': 'found regularly', 'latitude': 44.73188, 'longitude': 37.76176, 'geonameid': '518255'}}",Novorossisk,44.73188,37.76176,auto-GNS
1183,1184,539,9/6/42,USSR,"Germans announce capture of Novorossisk, key Soviet port on Black Sea since fall of Sevastopol.",": Germans announce capture of Novorossisk, key Soviet port on Black Sea since fall of Sevastopol.","{'Black Sea': {'Description': 'found regularly', 'latitude': 47.0, 'longitude': 33.0, 'geonameid': '505441'}}",Black Sea,47,33,auto-GNS
1184,1185,539,9/6/42,USSR,"Germans announce capture of Novorossisk, key Soviet port on Black Sea since fall of Sevastopol.",": Germans announce capture of Novorossisk, key Soviet port on Black Sea since fall of Sevastopol.","{'Sevastopol': {'Description': 'found regularly', 'latitude': 51.7688, 'longitude': 59.0399, 'geonameid': '496444'}}",Sevastopol,51.7688,59.0399,auto-GNS
1523,1524,649,10/8/42,USSR,German High Cmd abandons attempt to storm Stalingrad; announces plans to take city by arty siege.,: German High Command abandons attempt to storm Stalingrad; announces plans to take city by artillery siege.,"{'Stalingrad': {'Description': 'found regularly', 'latitude': 48.71939, 'longitude': 44.50183, 'geonameid': '472757'}}",Stalingrad,48.71939,44.50183,auto-GNS
2112,2113,833,11/22/42,USSR,Soviet Army opens offensive at Stalingrad.,: Soviet Army opens offensive at Stalingrad.,"{'Stalingrad': {'Description': 'found regularly', 'latitude': 48.71939, 'longitude': 44.50183, 'geonameid': '472757'}}",Stalingrad,48.71939,44.50183,auto-GNS
3042,3043,1100,1/18/43,USSR,Siege of Leningrad is raised after 17 months of bombardment.,: Siege of Leningrad is raised after 17 months of bombardment.,"{'Leningrad': {'Description': 'found regularly', 'latitude': 60.0, 'longitude': 32.0, 'geonameid': '536199'}}",Leningrad,60,32,auto-GNS
3555,3556,1246,2/14/43,USSR,"Soviet Army takes Rostov, key comm center for German forces.",": Soviet Army takes Rostov, key comm center for German forces.","{'Rostov': {'Description': 'found regularly', 'latitude': 47.44032, 'longitude': 41.08083, 'geonameid': '501165'}}",Rostov,47.44032,41.08083,auto-GNS
3600,3601,1259,2/16/43,USSR,"Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.",": Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.","{'Kharkov': {'Description': 'found regularly', 'latitude': 40.50602, 'longitude': 43.5952, 'geonameid': '616538'}}",Kharkov,40.50602,43.5952,auto-GNS
3601,3602,1259,2/16/43,USSR,"Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.",": Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.","{'S Russia': {'page_url': 'https://en.wikipedia.org/wiki/Russia', 'page_id': '25391', 'latitude': 66, 'longitude': 94}}",S Russia,66,94,auto-Wiki
3602,3603,1259,2/16/43,USSR,"Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.",": Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.","{'Nsopzup': {'Description': 'not in the countries of the theatre', 'latitude': 25.85084, 'longitude': 97.49467, 'geonameid': '1303934'}}",Nsopzup,25.85084,97.49467,auto-GNS
3603,3604,1259,2/16/43,USSR,"Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.",": Soviet Army takes Kharkov, stronghold of German line in S Russia since Oct 41. 18 P-40's hit T/Os in Nsopzup and Hpunkizup areas.","{'Hpunkizup': {'Description': 'not in the countries of the theatre', 'latitude': None, 'longitude': None, 'geonameid': None}}",Hpunkizup,,,
8275,8276,2446,9/16/43,USSR,Red Army takes Novorossisk.,: Red Army takes Novorossisk.,"{'Novorossisk': {'Description': 'found regularly', 'latitude': 44.73188, 'longitude': 37.76176, 'geonameid': '518255'}}",Novorossisk,44.73188,37.76176,auto-GNS
8525,8526,2493,9/25/43,USSR,Soviet Army captures Smolensk.,: Soviet Army captures Smolensk.,"{'Smolensk': {'Description': 'found regularly', 'latitude': 55.0, 'longitude': 33.0, 'geonameid': '491684'}}",Smolensk,55,33,auto-GNS
8588,8589,2509,9/29/43,USSR,Soviet Army takes Kremenchug.,: Soviet Army takes Kremenchug.,"{'Kremenchug': {'Description': 'found regularly', 'latitude': 53.89751, 'longitude': 69.2659, 'geonameid': '1521968'}}",Kremenchug,53.89751,69.2659,auto-GNS
9378,9379,2699,11/6/43,USSR,Soviet Army retakes Kiev.,: Soviet Army retakes Kiev.,"{'Kiev': {'Description': 'found regularly', 'latitude': 50.24018, 'longitude': 30.23163, 'geonameid': '703446'}}",Kiev,50.24018,30.23163,auto-GNS
11912,11913,3290,1/29/44,USSR,Soviet Army clears Germans from Moscow-Leningrad rail line. Russians launch attack against German salient in Ukraine.,: Soviet Army clears Germans from Moscow-Leningrad rail line. Russians launch attack against German salient in Ukraine.,"{'Moscow': {'Description': 'found regularly', 'latitude': 55.76167, 'longitude': 37.60667, 'geonameid': '524894'}}",Moscow,55.76167,37.60667,auto-GNS
11913,11914,3290,1/29/44,USSR,Soviet Army clears Germans from Moscow-Leningrad rail line. Russians launch attack against German salient in Ukraine.,: Soviet Army clears Germans from Moscow-Leningrad rail line. Russians launch attack against German salient in Ukraine.,"{'Leningrad': {'Description': 'found regularly', 'latitude': 60.0, 'longitude': 32.0, 'geonameid': '536199'}}",Leningrad,60,32,auto-GNS
11914,11915,3290,1/29/44,USSR,Soviet Army clears Germans from Moscow-Leningrad rail line. Russians launch attack against German salient in Ukraine.,: Soviet Army clears Germans from Moscow-Leningrad rail line. Russians launch attack against German salient in Ukraine.,"{'Ukraine': {'Description': 'found regularly', 'latitude': 49.0, 'longitude': 32.0, 'geonameid': '690791'}}",Ukraine,49,32,auto-GNS
11986,11987,3309,2/2/44,USSR,"Stalin agrees to provide 6 bases for US aircraft in USSR. Soviet Army crosses into Estonia, and in Ukraine attacks along a 60-mile front.",": Stalin agrees to provide 6 bases for US aircraft in USSR. Soviet Army crosses into Estonia, and in Ukraine attacks along a 60-mile front.","{'USSR': {'Description': 'not in reference locations', 'latitude': None, 'longitude': None, 'geonameid': None}}",USSR,,,
11987,11988,3309,2/2/44,USSR,"Stalin agrees to provide 6 bases for US aircraft in USSR. Soviet Army crosses into Estonia, and in Ukraine attacks along a 60-mile front.",": Stalin agrees to provide 6 bases for US aircraft in USSR. Soviet Army crosses into Estonia, and in Ukraine attacks along a 60-mile front.","{'Estonia': {'Description': 'found regularly', 'latitude': 59.0, 'longitude': 26.0, 'geonameid': '453733'}}",Estonia,59,26,auto-GNS
11988,11989,3309,2/2/44,USSR,"Stalin agrees to provide 6 bases for US aircraft in USSR. Soviet Army crosses into Estonia, and in Ukraine attacks along a 60-mile front.",": Stalin agrees to provide 6 bases for US aircraft in USSR. Soviet Army crosses into Estonia, and in Ukraine attacks along a 60-mile front.","{'Ukraine': {'Description': 'found regularly', 'latitude': 49.0, 'longitude': 32.0, 'geonameid': '690791'}}",Ukraine,49,32,auto-GNS
12606,12607,3436,2/17/44,USSR,Soviet Army completes reduction of German pockets W of Cherkassy.,: Soviet Army completes reduction of German pockets W of Cherkassy.,"{'Cherkassy': {'Description': 'found regularly', 'latitude': 53.7662, 'longitude': 27.3347, 'geonameid': '8019840'}}",Cherkassy,53.7662,27.3347,auto-GNS
13863,13864,3700,3/20/44,USSR,Red Army sweeps into Bessarabia.,: Red Army sweeps into Bessarabia.,"{'Bessarabia': {'Description': 'found regularly', 'latitude': 43.05, 'longitude': 132.35, 'geonameid': '2026765'}}",Bessarabia,43.05,132.35,auto-GNS
14740,14741,3853,4/8/44,USSR,Soviet forces open offensive in Crimea.,: Soviet forces open offensive in Crimea.,"{'Crimea': {'Description': 'found regularly', 'latitude': 45.0, 'longitude': 34.0, 'geonameid': '703883'}}",Crimea,45,34,auto-GNS
14859,14860,3872,4/10/44,USSR,Red Army captures Odessa.,: Red Army captures Odessa.,"{'Odessa': {'Description': 'found regularly', 'latitude': 46.4577, 'longitude': 30.7484, 'geonameid': '698738'}}",Odessa,46.4577,30.7484,auto-GNS
15159,15160,3922,4/16/44,USSR,Soviet forces capture Yalta.,: Soviet forces capture Yalta.,"{'Yalta': {'Description': 'found regularly', 'latitude': 49.49897, 'longitude': 72.89032, 'geonameid': '11475747'}}",Yalta,49.49897,72.89032,auto-GNS
16487,16488,4128,5/9/44,USSR,Soviet Army captures Sevastopol.,: Soviet Army captures Sevastopol.,"{'Sevastopol': {'Description': 'found regularly', 'latitude': 51.7688, 'longitude': 59.0399, 'geonameid': '496444'}}",Sevastopol,51.7688,59.0399,auto-GNS
25702,25703,5650,11/6/44,"AAF, India-Burma Theater","AAF, India-Burma Sector, China-BurmaIndia Theater is redesignated AAF, India-Burma Theater.",": AAF, India-Burma Sector, China-Burma India Theater is redesignated AAF, India-Burma Theater.","{'India-Burma Sector': {'page_id': 'Q2749165', 'page_url': 'https://en.wikipedia.org/wiki/India–Myanmar_border', 'latitude': 21.976388888889, 'longitude': 92.608328703704}}",India-Burma Sector,21.97638889,92.6083287,auto-Wiki
25703,25704,5650,11/6/44,"AAF, India-Burma Theater","AAF, India-Burma Sector, China-BurmaIndia Theater is redesignated AAF, India-Burma Theater.",": AAF, India-Burma Sector, China-Burma India Theater is redesignated AAF, India-Burma Theater.","{'China-Burma India Theater': {'Description': 'not in the countries of the theatre', 'latitude': None, 'longitude': None, 'geonameid': None}}",China-Burma India Theater,,,
37074,37075,7524,7/16/45,"AAF, India-Burma Theater","Gen Hanley assumes cmd of AAF, IndiaBurma Theater.",": Gen Hanley assumes cmd of AAF, India Burma Theater.","{'India': {'Description': 'found regularly', 'latitude': 22.0, 'longitude': 79.0, 'geonameid': '1269750'}}",India,22,79,auto-GNS
37075,37076,7524,7/16/45,"AAF, India-Burma Theater","Gen Hanley assumes cmd of AAF, IndiaBurma Theater.",": Gen Hanley assumes cmd of AAF, India Burma Theater.","{'Burma': {'Description': 'found regularly', 'latitude': 21.0, 'longitude': 96.0, 'geonameid': '1327865'}}",Burma,21,96,auto-GNS
